173346	7 Wonders Duel	2015
247367	Air, Land, & Sea	2019
230802	Azul	2017
324513	Batman: The Dark Knight Returns – The Game	2022
10547	Betrayal at House on the Hill	2004
273330	Bloodborne: The Board Game	2021
413246	Bomb Busters	2024
224517	Brass: Birmingham	2018
364760	Bunker	2020
393325	Captain Flip	2024
822	Carcassonne	2000
416851	Castle Combo	2024
13	Catan	1995
345408	Chai Garam	2021
105593	Cheating Moth	2011
171	Chess	1475
201808	Clank!: A Deck-Building Adventure	2016
198328	Clue: Game of Thrones	2016
178900	Codenames	2015
198773	Codenames: Pictures	2016
131357	Coup	2012
284083	The Crew: The Quest for Planet Nine	2019
246784	Cryptid	2018
150376	Dead of Winter: A Crossroads Game	2014
225694	Decrypto	2018
15512	Diamant	2005
39856	Dixit	2008
36218	Dominion	2008
316554	Dune: Imperium	2020
260300	Dungeon Mayhem	2018
146021	Eldritch Horror	2013
199792	Everdell	2018
172225	Exploding Kittens	2015
385761	Faraway	2023
336986	Flamecraft	2022
420087	Flip 7	2024
175914	Food Chain Magnate	2015
172	For Sale	1997
103343	A Game of Thrones: The Board Game (Second Edition)	2011
246192	Gizmos	2018
304783	Hadrian's Wall	2021
414317	Harmonies	2024
366013	Heat: Pedal to the Metal	2022
321608	Hegemony: Lead Your Class to Victory	2023
299252	Here to Slay	2020
302520	Hues and Cues	2020
54043	Jaipur	2009
295439	Jenga Mini	2016
70323	King of Tokyo	2011
204583	Kingdomino	2016
412695	Kursi	2024
421374	Landmarks	2024
368173	Let's Go! To Japan	2024
415513	Life in Reterra	2024
295374	Long Shot: The Dice Game	2022
770	Loot	1992
421006	The Lord of the Rings: Duel for Middle-earth	2024
312484	Lost Ruins of Arnak	2020
131232	Mafia City	2012
161276	MIND	2017
7098	Monopoly: Deluxe Edition	1995
447281	Nayakas	2025
180956	One Night Ultimate Vampire	2016
30549	Pandemic	2008
163412	Patchwork	2014
1115	Poker	1810
244521	Quacks	2018
227224	The Red Cathedral	2020
352697	Resist!	2022
41114	The Resistance	2009
237182	Root	2018
9220	Saboteur	2004
377470	Sail	2023
438	Scotland Yard	1983
367220	Sea Salt & Paper	2022
418059	SETI: Search for Extraterrestrial Intelligence	2024
257305	SHASN	2021
157969	Sheriff of Nottingham	2014
92415	Skull	2011
150145	Skull King	2013
373106	Sky Team	2023
27389	Smart Ass	2006
148228	Splendor	2014
63268	Spot it!	2009
425428	Survive The Island	2024
192291	Sushi Go Party!	2016
1111	Taboo	1989
253664	Taco Cat Goat Cheese Pizza	2018
440540	Take Time	2025
167791	Terraforming Mars	2016
448112	This is Ridiculous!!!	2025
14996	Ticket to Ride: Europe	2005
128664	Timeline	2012
123540	Tokaido	2012
21804	Traditional Card Games	
352515	Trio	2021
448958	Uninvited Guests at a Wedding	2025
415945	Unmatched: Slings and Arrows	2024
411861	Unmatched: The Witcher – Realms Fall	2025
2223	UNO	1971
399088	UNO: Show 'Em No Mercy	2023
266192	Wingspan	2019
